location,population,higest_infection_count,percent_population_infected
Gibraltar,33691,NULL,NULL
Greenland,56772,NULL,NULL
Guernsey,67052,NULL,NULL
International,NULL,721,NULL
"Isle of Man",85032,NULL,NULL
Jersey,101073,NULL,NULL
Macao,649342,NULL,NULL
Montserrat,4999,NULL,NULL
Nauru,10834,NULL,NULL
"New Caledonia",285491,NULL,NULL
Niue,1618,NULL,NULL
"Northern Cyprus",NULL,NULL,NULL
Pitcairn,47,NULL,NULL
"Saint Helena",6071,NULL,NULL
"Sint Maarten (Dutch part)",42882,NULL,NULL
Tokelau,1350,NULL,NULL
Tonga,105697,NULL,NULL
Turkmenistan,6031187,NULL,NULL
"Turks and Caicos Islands",38718,NULL,NULL
Tuvalu,11792,NULL,NULL
"Wallis and Futuna",11246,NULL,NULL
